Unnamed: 0,Borough,Neighborhood,ID,Name
78,Queens,Richmond Hill,4adbaef0f964a520ff2921e3,Punjabi Kabab House
79,Queens,Richmond Hill,57d9e9a1498e545076560fef,Punjabi Diner
80,Queens,Long Island City,50a287a7e4b0033f830f06db,Raj's Indian Kitchen
81,Queens,Long Island City,5b931ea69d7468002c3b1382,Adda
82,Queens,Sunnyside,5b931ea69d7468002c3b1382,Adda
83,Queens,Ridgewood,50e1c9708aca7ff2b3e50353,Nepalese Indian Restaurant
84,Queens,Rego Park,5625af69498ebbc62b61a382,Aaheli Restaurant
85,Queens,Ozone Park,572d7c21498e098658a0edd7,Punjabi kabab and gyro
86,Queens,South Ozone Park,4ee8dddb5c5c99a2dc780825,New Kabob Diner
87,Queens,Bayside,4f1f4996e4b01ff351a7a50c,Ayna Agra Indian Restaurant
88,Queens,Bayside,539a4ff0498e79c6745baba9,Masala Box
89,Queens,Bayside,539e27b0498e2eba582085ee,masalabox
90,Queens,Glen Oaks,4b787c49f964a5209cd12ee3,Santoor Indian Restaurant
91,Queens,Glen Oaks,4b9030abf964a520397b33e3,Taste of Cochin
92,Queens,Glen Oaks,4df0f39dd4c04d0392c853ea,Sagar Chinese
93,Queens,Glen Oaks,4c0e256ab1b676b06589e186,Sohna Punjab
94,Queens,Bellerose,4ff35019e4b08a4c70f033b4,King Of India
95,Queens,Briarwood,4be334312fc7d13a7a81083a,Taj Mahal Restaurant & Party Hall
96,Queens,Briarwood,4bad49a0f964a52041423be3,Annam Brahma
97,Queens,Briarwood,4cc08b0900d83704ed474b5c,Sybil's Bakery
98,Queens,Jamaica Center,4bad49a0f964a52041423be3,Annam Brahma
99,Queens,Jamaica Center,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant
100,Queens,Jamaica Center,4cc08b0900d83704ed474b5c,Sybil's Bakery
101,Queens,Jamaica Center,4c69c4b58e7c0f47d48de00f,Ghoroa Sweets & Restaurant
102,Queens,Steinway,562035d9498e2abb4137c2c7,Yaar Indian Restaurant
103,Queens,Floral Park,4e4e3e22bd4101d0d7a5c2d1,Kerala Kitchen
104,Queens,Floral Park,4b647b56f964a520c4b62ae3,Usha Foods & Usha Sweets
105,Queens,Floral Park,527ffc0811d2d329d5e49abd,Jackson Diner
106,Queens,Floral Park,4b787c49f964a5209cd12ee3,Santoor Indian Restaurant
107,Queens,Floral Park,4c0c01e0bbc676b00d6b4cd5,Mumbai Xpress
108,Queens,Floral Park,4c76ff35a5676dcb72671721,Flavor Of India
109,Queens,Floral Park,4df0f39dd4c04d0392c853ea,Sagar Chinese
110,Queens,Floral Park,55d68c1b498ecf05fa196fe1,Namaste Restaurant and Cafe
111,Queens,Floral Park,5d06c43cc03635002cc463f2,Honest
112,Queens,Floral Park,4e6bfe1c7d8b2c711b17bbe5,Surya sweets and snacks
113,Queens,Holliswood,4f580c1be4b0bdfd0e7e8102,Rajdhani Indian Restaurant
114,Queens,Jamaica Estates,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant
115,Queens,Jamaica Estates,4c66f1ac8e9120a1b266d964,Sunshine Grill and Restaurant
116,Queens,Ravenswood,5623f6f9498e5a44a08bfae8,Boishakhi Restaurant
117,Queens,Bellaire,4dc0aaedae606fe8b71c226b,Saffron Cuisine/ Bar
